ordinal,name,rarity,redo_existing,output_format,visual_concept,ai_prompt
951,Mylroi,VeryRare,false,3 static PNGs,"A walking origami crane folded from gold-leaf paper, wings unfurl into 3D fan-arrays, each fold radiates a single rune-line.","Pokemon-style VeryRare monster: a walking origami crane folded from gold-leaf paper, wings unfurl into 3D fan-arrays, each fold radiates a single rune-line. RARITY: VeryRare (ornate, regal stance). Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
953,Tomrenteinth,VeryRare,false,3 static PNGs,"A sentient pendulum-being: brass clock-pendulum body with extension arms, ticks visibly with each frame, no head — a single crystal-eye embedded in the pendulum-bob.","Pokemon-style VeryRare monster: a sentient pendulum-being with brass clock-pendulum body and extension arms, ticking visibly with each frame, no head — a single crystal-eye embedded in the pendulum-bob. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
955,Qoirgeinth,VeryRare,false,3 static PNGs,"A coral-reef colony walking on crab-like legs — hundreds of tiny polyps form one composite body, an anemone-cluster serves as 'head', no central animal.","Pokemon-style VeryRare monster: a coral-reef colony walking on crab-like legs — hundreds of tiny polyps forming one composite body, anemone-cluster as 'head', no central animal. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
956,Nindainth,VeryRare,false,3 static PNGs,"A crystalline mantis with prismatic blade-arms, body refracting rainbow into hard-light shards. Faceted geometric form rather than organic.","Pokemon-style VeryRare monster: a crystalline mantis with prismatic blade-arms, body refracting rainbow into hard-light shards, faceted geometric form rather than organic. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
958,Posass,VeryRare,false,3 static PNGs,"A geyser-creature — lower body is constant erupting steam, upper body is a rounded mineral-mass with eyes embedded like pebbles.","Pokemon-style VeryRare monster: lower body constantly erupting steam, upper body rounded mineral-mass with eyes embedded like pebbles, no recognizable creature. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
959,Unosder,VeryRare,false,3 static PNGs,"A walking grandfather-clock: gear-feet, glass-faced eye showing real ticking hands, brass pendulum tail.","Pokemon-style VeryRare monster: a walking grandfather-clock with gear-feet, glass-faced eye showing ticking hands, brass pendulum tail. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
961,Xyndyn,VeryRare,false,3 static PNGs,"A literal living calligraphy-mark — brushstrokes form the body, ink drips off as movement-trail. No skeleton, just animated ink.","Pokemon-style VeryRare monster: a sentient calligraphy-mark, brushstrokes forming the body, ink drips off as movement-trail, no skeleton just animated ink. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
964,Tinym,VeryRare,false,3 static PNGs,"A walking honeycomb hive — body is honeycomb-cells stacked, each cell contains a tiny eye, head is a beeless waxen mask. No bees.","Pokemon-style VeryRare monster: a walking honeycomb hive — body is hexagonal cells stacked, each cell contains a tiny eye, head is a beeless waxen mask, no bees visible. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
967,Kendriass,VeryRare,false,3 static PNGs,"A Möbius-strip ribbon-creature — body is a single twisted band with no front or back, surface marked with celestial diagrams, no anatomical features.","Pokemon-style VeryRare monster: a Möbius-strip ribbon-creature with body as a single twisted band (no front/back), surface marked with celestial diagrams, no anatomical features. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
968,Pirgod,VeryRare,false,3 static PNGs,"A spectral cosmic whale — transparent body filled with swimming galaxies, mouth slowly opens to reveal a star-nursery within. Ghostly, vast.","Pokemon-style VeryRare monster: a spectral cosmic whale, transparent body filled with swimming galaxies, mouth slowly opening to reveal a star-nursery within. ANIMATION HINT: galaxies drift inside body. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
969,Xiddrirro,VeryRare,false,3 static PNGs,"A bioluminescent abyssal cathedral — many tentacle-towers rising from a translucent dome, internal organs visible glowing through skin.","Pokemon-style VeryRare monster: a bioluminescent abyssal cathedral with many tentacle-towers rising from a translucent dome, internal organs visible glowing through skin. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
970,Nendrunos,VeryRare,false,3 static PNGs,"A clockwork time-loom weaver: cephalopod body covered in spinning gears, 8 arms each winding glowing thread that fades into the past.","Pokemon-style VeryRare monster: clockwork time-loom weaver, cephalopod body covered in spinning gears, 8 arms each winding glowing thread that fades into the past. ANIMATION HINT: gears rotate. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
972,Yseom,VeryRare,false,3 static PNGs,"A mandrake-warrior: humanoid root-vegetable with leafy crown, a baby-doll face that screams silently. Roots extend as legs.","Pokemon-style VeryRare monster: a mandrake-warrior, humanoid root-vegetable with leafy crown, baby-doll face screaming silently, roots extending as legs. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
974,Zymrerth,VeryRare,false,3 static PNGs,"A walking ladder-being: literally an ornate ladder with eyes peeking between rungs, rungs animate as articulated limbs.","Pokemon-style VeryRare monster: a walking ladder-being — literally an ornate ladder with eyes between rungs, rungs animating as articulated limbs. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
976,Polriat,VeryRare,false,3 static PNGs,"A sealed-grief entity: a mourning veiled figure with tear-gemstones streaming down the veil, holding a single wilted flower.","Pokemon-style VeryRare monster: a sealed-grief entity — a mourning veiled figure with tear-gemstones streaming down the veil, holding a single wilted flower. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
977,Xorvurro,VeryRare,false,3 static PNGs,"A trefoil-knot crystalline being: body topologically knotted into geometric form, prismatic facets refracting on every plane.","Pokemon-style VeryRare monster: a trefoil-knot crystalline being, body topologically knotted into geometric form, prismatic facets refracting on every plane. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
978,Zesurth,VeryRare,false,3 static PNGs,"A whale-shaped storm cloud — enormous cetacean silhouette of dark vapor, lightning-veined skin, rain falls from underbelly.","Pokemon-style VeryRare monster: a whale-shaped storm cloud — enormous cetacean silhouette of dark vapor, lightning-veined skin, rain falling from underbelly. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
979,Xegi,VeryRare,false,3 static PNGs,"A walking music-box: ornate cylindrical body that rotates, tiny figurines on top revolving, sound-waves visible as ribbons trailing.","Pokemon-style VeryRare monster: a walking music-box — ornate cylindrical body rotating, tiny figurines revolving on top, sound-waves visible as ribbons trailing. ANIMATION HINT: figurines spin. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
980,Yzarrass,VeryRare,false,3 static PNGs,"A solitude-ghost: single robed figure surrounded by 3-4 faded translucent duplicates that drift behind it.","Pokemon-style VeryRare monster: a solitude-ghost — single robed figure surrounded by 3-4 faded translucent duplicates drifting behind it. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
981,Pimurir,VeryRare,false,3 static PNGs,"An aurora-ribbon entity: shifting curtains of green-violet light, wraps a barely-visible serpentine inner core.","Pokemon-style VeryRare monster: an aurora-ribbon entity — shifting curtains of green-violet light wrapping a barely-visible serpentine inner core. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
982,Zese,VeryRare,false,3 static PNGs,"A constellation-walker: floating star-points connected by faint silver lines forming a rough creature-outline, no solid body.","Pokemon-style VeryRare monster: a constellation-walker — floating star-points connected by faint silver lines forming a creature-outline, no solid body. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
984,Qelrem,VeryRare,false,3 static PNGs,"A wonder-elemental: small radiant heart-form drawing pulsing concentric rings outward, surface ripples with soft awe-light.","Pokemon-style VeryRare monster: a wonder-elemental — small radiant heart-form drawing pulsing concentric rings outward, surface rippling with soft awe-light. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
985,Yrorros,VeryRare,false,3 static PNGs,"A penrose-staircase architecture-being: impossible folded stairs animate as articulated limbs, eyes peer between steps.","Pokemon-style VeryRare monster: a Penrose-staircase architecture-being — impossible folded stairs animating as articulated limbs, eyes peering between steps. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
989,Memmuror,VeryRare,false,3 static PNGs,"A memory-gardener: hooded figure with a watering-can, trailing seeds that bloom into ghostly forgotten faces in the air behind.","Pokemon-style VeryRare monster: a memory-gardener — hooded figure with a watering-can, trailing seeds that bloom into ghostly forgotten faces in the air behind. RARITY: VeryRare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
851,Yetiger,Rare,false,3 static PNGs,"A walking igloo-construct with internal flame-glow, frost-crystals sprouting from corners, no recognizable creature inside — only the door is the eye.","Pokemon-style Rare monster: a walking igloo-construct with internal flame-glow, frost-crystals sprouting from corners, no creature visible — only the doorway is the eye. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
855,Magihawk,Rare,false,3 static PNGs,"A floating spell-scroll unfurled into a hawk-silhouette of glowing runes, wings made entirely of inscribed parchment.","Pokemon-style Rare monster: a floating spell-scroll unfurled into a hawk-silhouette of glowing runes, wings made entirely of inscribed parchment. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
856,Knightingale,Rare,false,3 static PNGs,"A mechanical bird-knight: armored avian with engraved breastplate, sword-beak, banner-tail flying behind.","Pokemon-style Rare monster: a mechanical bird-knight, armored avian with engraved breastplate, sword-beak, banner-tail flying behind. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
857,Vultune,Rare,false,3 static PNGs,"A vulture-shaped pile of weathered books — pages flutter as feathers, leather binding wraps the body, eye-glow from pages.","Pokemon-style Rare monster: a vulture-shaped pile of weathered books — pages fluttering as feathers, leather binding wrapping the body, eye-glow emanating from pages. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
862,Twilightingale,Rare,false,3 static PNGs,"A sentient evening-sky fragment — small cloud of dusk-hues with two glowing eyes, no fixed shape.","Pokemon-style Rare monster: a sentient evening-sky fragment, small cloud of dusk-hues with two glowing eyes, no fixed shape. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
863,Vaporc,Rare,false,3 static PNGs,"A piggish creature made entirely of steam, body holds shape only when running — at rest it dissipates into vague mist.","Pokemon-style Rare monster: a piggish creature made entirely of steam, body holding shape only when running — at rest it dissipates into vague mist. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
865,Mantygon,Rare,false,3 static PNGs,"A geometric praying-mantis with body composed of stacked polyhedra, prayer-arms folded, all edges sharp and faceted.","Pokemon-style Rare monster: a geometric praying-mantis with body of stacked polyhedra, prayer-arms folded, all edges sharp and faceted. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
866,Rhinonium,Rare,false,3 static PNGs,"A sentient bell — polished brass dome body, tongue-clapper as tail, rings out on impact. Two large eyes embedded in the dome.","Pokemon-style Rare monster: a sentient bell — polished brass dome body, tongue-clapper as tail, rings out on impact, two large eyes embedded in the dome. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
867,Mohawk,Rare,false,3 static PNGs,"A sentient sound-wave given form — snake-like body of visible sonic ripples, undulates rhythmically, no skin or bones, pure pulsation.","Pokemon-style Rare monster: a sentient sound-wave given form — snake-like body of visible sonic ripples, undulating rhythmically, no skin or bones, pure pulsation. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
870,Starish,Rare,false,3 static PNGs,"A small jellyfish-cathedral — transparent dome with internal star-map, trailing tentacles of liquid moonlight.","Pokemon-style Rare monster: a small jellyfish-cathedral — transparent dome with internal star-map, trailing tentacles of liquid moonlight. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
872,Mountida,Rare,false,3 static PNGs,"A walking rune-stone — stone slab with stubby arms and legs, glyphs glow in shifting patterns across the surface.","Pokemon-style Rare monster: a walking rune-stone — stone slab with stubby arms and legs, glyphs glowing in shifting patterns across the surface. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
875,Salamantis,Rare,false,3 static PNGs,"A coral-reef colony in long salamander-shape — hundreds of tiny mouths covering a sinuous body, each mouth blowing tiny bubbles.","Pokemon-style Rare monster: a coral-reef colony in long salamander-shape — hundreds of tiny mouths covering a sinuous body, each blowing tiny bubbles. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
877,Turtoy,Rare,false,3 static PNGs,"A clockwork tortoise — shell is a working clockface with spinning hands, gear-legs, key-tail wound by an unseen hand.","Pokemon-style Rare monster: a clockwork tortoise — shell is a clockface with spinning hands, gear-legs, key-tail wound by unseen hand. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
878,Vultaring,Rare,false,3 static PNGs,"A wreath-shaped sentient ring of vapor circling a hidden center, hovers without touching ground — empty in the middle.","Pokemon-style Rare monster: a wreath-shaped sentient ring of vapor circling a hidden center, hovering without ground contact, empty in the middle. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
880,Volteon,Rare,false,3 static PNGs,"A walking lightning-fork given humanoid form — body is pure plasma-arcs with three branching limbs, no flesh.","Pokemon-style Rare monster: a walking lightning-fork given humanoid form — body is pure plasma-arcs with three branching limbs, no flesh. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
882,Salamaniac,Rare,false,3 static PNGs,"A sentient candle — wax body, flame-head as expressive face, drips form a trailing path of solidified wax.","Pokemon-style Rare monster: a sentient candle — wax body, flame-head as expressive face, drips form a trailing path of solidified wax. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
884,Venophant,Rare,false,3 static PNGs,"A trumpet-shaped sound-creature — brass body with bell-mouth that emits visible musical-notes as floating glyphs.","Pokemon-style Rare monster: a trumpet-shaped sound-creature — brass body with bell-mouth emitting visible musical-notes as floating glyphs. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
885,Scorpidos,Rare,false,3 static PNGs,"A floating astrolabe-being — brass concentric rings orbit a central dark sphere, navigation-marks etched on rings.","Pokemon-style Rare monster: a floating astrolabe-being — brass concentric rings orbiting a central dark sphere, navigation-marks etched on rings. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
