ordinal,name,primary,secondary,rarity,archetype,biomes,time_lock,weekday_lock,weather_boost,final_size,max_kb,ai_prompt
10,Magicatross,Venom,Blood,Common,cat,Marsh|Cave|Sanctum,dawn-dusk-only,Saturday,any,96x96,5,"Pokemon-style monster creature named ""Magicatross"". PRIMARY ELEMENT: Venom — sickly green, bile-yellow, deep purple veins. SECONDARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. CREATURE ARCHETYPE: cat. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: festering boils, hood flare, plus bone-spike spine accents from Blood-element, made of chitin shell. AURA / MOOD: pungent green vapor. STYLE REFERENCE: like Seviper — snake-like with venom drip. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
11,Horroguin,Cosmic,,Common,mythic-form,Sanctum|Mountain,night-only,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Horroguin"". PRIMARY ELEMENT: Cosmic — deep space black, nebula-purple, starlight-white pinpricks. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: void-eyes, asteroid horns, made of supernova mane. AURA / MOOD: tiny planet-models orbiting. STYLE REFERENCE: like Lunala — celestial wraith form. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
12,Shelmite,Aether,Shadow,Common,crab,Sanctum|Town,any,any,any,96x96,5,"Pokemon-style monster creature named ""Shelmite"". PRIMARY ELEMENT: Aether — iridescent gold, prismatic white, soft pearl. SECONDARY ELEMENT: Shadow — midnight-black, deep purple, blood-red eye glow. CREATURE ARCHETYPE: crab. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: aether-rune markings, veil of light-mist, plus smoke-tendrils accents from Shadow-element, made of translucent flesh. AURA / MOOD: glowing aether particles drifting up. STYLE REFERENCE: Aetherbound's signature element — pure life-essence creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
13,Quileleon,Dream,Blood,Common,quadruped,Forest|Sanctum,night-only,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Quileleon"". PRIMARY ELEMENT: Dream — soft pastels, dusk-pink, twilight purple, milky white. SECONDARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: third eye closed in slumber, butterfly wings, plus open-heart chest accents from Blood-element, made of moth-fluff. AURA / MOOD: lazy drifting motes, soft glow. STYLE REFERENCE: like Cresselia — ethereal moth-spirit. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
14,Chimpalax,Mind,,Common,simian,Castle|Sanctum,any,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Chimpalax"". PRIMARY ELEMENT: Mind — violet, lavender, electric blue accents, silver psychic glow. CREATURE ARCHETYPE: simian. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: spoon-bent appendages, telekinetic ring, made of smooth porcelain skin. AURA / MOOD: wavy psychic distortion. STYLE REFERENCE: like Alakazam — bipedal psychic with spoons. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
15,Pigeodrill,Sound,Mind,Common,spirit-form,Forest|Town,any,Thursday,any,96x96,5,"Pokemon-style monster creature named ""Pigeodrill"". PRIMARY ELEMENT: Sound — vibrant electric blue, neon-pink, black accents. SECONDARY ELEMENT: Mind — violet, lavender, electric blue accents, silver psychic glow. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: tuning-fork antennae, vibrating fur, plus telekinetic ring accents from Mind-element, made of echo-bone. AURA / MOOD: visible sonic ripples. STYLE REFERENCE: like Exploud — large-mouthed roaring quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
16,Falcoslash,Time,,Common,beast,Sanctum|Cave,any,any,any,96x96,5,"Pokemon-style monster creature named ""Falcoslash"". PRIMARY ELEMENT: Time — sepia, bronze, sand-gold, hourglass-silver. CREATURE ARCHETYPE: beast. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: hourglass markings on chest, sand-streaming limbs, made of sand body. AURA / MOOD: drifting sand particles, faint clock-tick echo. STYLE REFERENCE: like Dialga — temporal-dragon. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
17,Glacopus,Crystal,Wind,Common,reptile,Cave|Mountain|WaterSurface,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Glacopus"". PRIMARY ELEMENT: Crystal — rainbow refractions on white, prismatic edges, hard light. SECONDARY ELEMENT: Wind — sky-blue, white, silver, dawn-pink accents. CREATURE ARCHETYPE: reptile. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: geode core, faceted limbs, plus wind-streak ribbons accents from Wind-element, made of diamond-dust fur. AURA / MOOD: refracted light beams in air. STYLE REFERENCE: like Diancie — gem-encrusted royal. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
18,Burnibou,Blood,Time,Common,spirit-form,Castle|Sanctum|Cave,any,Saturday,any,96x96,5,"Pokemon-style monster creature named ""Burnibou"". PRIMARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. SECONDARY ELEMENT: Time — sepia, bronze, sand-gold, hourglass-silver. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: bone-spike spine, dripping fangs, plus clockwork joints accents from Time-element, made of sinew tendons. AURA / MOOD: crimson mist haze. STYLE REFERENCE: like Yveltal — dark-vitality apex predator. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
19,Leopotic,Fire,,Common,amorphous-elemental,Desert|Cave,any,Saturday,Heat,96x96,5,"Pokemon-style monster creature named ""Leopotic"". PRIMARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: lava-cracked skin, ash-streaked fur, made of obsidian scales. AURA / MOOD: heat-shimmer aura, sparks rising. STYLE REFERENCE: like Arcanine — burning mane on a powerful quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
20,Hamstola,Water,Earth,Common,mythic-form,Beach|Harbor|Marsh,any,Friday,Rain,96x96,5,"Pokemon-style monster creature named ""Hamstola"". PRIMARY ELEMENT: Water — deep ocean blue, teal, foam-white, kelp-green. SECONDARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: fin-blade ridges, translucent jelly skin, plus stone-plate armor accents from Earth-element, made of kelp tendrils. AURA / MOOD: swirling water-stream around body. STYLE REFERENCE: like Vaporeon — sleek aquatic with fluid ridges. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
21,Wolvestar,Ice,,Common,wolf,Mountain|WaterSurface,any,Wednesday,Snow,96x96,5,"Pokemon-style monster creature named ""Wolvestar"". PRIMARY ELEMENT: Ice — pale blue, cyan, frost-white, glacial silver. CREATURE ARCHETYPE: wolf. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: frost-breath, icicle crown, made of glacier shards. AURA / MOOD: crisp frost mist. STYLE REFERENCE: like Glaceon — crystalline ice plates over fur. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
22,Aquatamel,Earth,Crystal,Common,fish,Forest|Mountain|Desert,any,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Aquatamel"". PRIMARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. SECONDARY ELEMENT: Crystal — rainbow refractions on white, prismatic edges, hard light. CREATURE ARCHETYPE: fish. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: root-bound horns, boulder-shoulder, plus rainbow refraction shimmer accents from Crystal-element, made of clay scales. AURA / MOOD: small dust kicked up around feet. STYLE REFERENCE: like Rhydon — heavy earth-armored beast. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
23,Coyonite,Wood,Earth,Common,canine,Forest|Plains,day-preferred,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Coyonite"". PRIMARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. SECONDARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. CREATURE ARCHETYPE: canine. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: vine tendrils, leaf-mane, plus boulder-shoulder accents from Earth-element, made of mushroom growths. AURA / MOOD: petals drifting in air. STYLE REFERENCE: like Sceptile — slender tree-leaf creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
24,Kynarak,Metal,,Common,bipedal-humanoid,Cave|Castle|Harbor,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Kynarak"". PRIMARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. CREATURE ARCHETYPE: bipedal-humanoid. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: riveted plating, gear joints, made of iron skin. AURA / MOOD: metallic clinking, static-spark. STYLE REFERENCE: like Scizor — armored insectoid steel-plated. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
25,Scorpion,Storm,Metal,Common,insect,Beach|Mountain,any,Thursday,Rain,96x96,5,"Pokemon-style monster creature named ""Scorpion"". PRIMARY ELEMENT: Storm — violet-electric, indigo, sulphur-yellow accents. SECONDARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. CREATURE ARCHETYPE: insect. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: static-crackle eyes, lightning-bolt fur tufts, plus gear joints accents from Metal-element, made of kelvin-blue skin. AURA / MOOD: arcing electric tendrils. STYLE REFERENCE: like Zapdos — feathered electric storm-bird. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
